Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS,INT J COMPUT FLUID D,1061-8562,1029-0257,"PHYSICS, FLUIDS & PLASMAS - SCIE",969,1.443,Q4,0.41,3.48%
Communications in Applied Mathematics and Computational Science,COMM APP MATH COM SC,1559-3940,2157-5452,"PHYSICS, MATHEMATICAL - SCIE",477,1.438,Q3,0.47,0%
INTERNATIONAL JOURNAL OF MODERN PHYSICS B,INT J MOD PHYS B,0217-9792,1793-6578,"PHYSICS, MATHEMATICAL - SCIE; PHYSICS, CONDENSED MATTER - SCIE","5,815",1.404,Q3,0.32,1.50%
JETP LETTERS,JETP LETT+,0021-3640,1090-6487,"PHYSICS, MULTIDISCIPLINARY - SCIE","8,268",1.4,Q3,0.35,0.76%
EUROPEAN PHYSICAL JOURNAL B,EUR PHYS J B,1434-6028,1434-6036,"PHYSICS, CONDENSED MATTER - SCIE","9,364",1.398,Q4,0.26,10.55%
REVIEWS IN MATHEMATICAL PHYSICS,REV MATH PHYS,0129-055X,1793-6659,"PHYSICS, MATHEMATICAL - SCIE","1,159",1.383,Q3,0.35,0.72%
JOURNAL OF GEOMETRY AND PHYSICS,J GEOM PHYS,0393-0440,1879-1662,"PHYSICS, MATHEMATICAL - SCIE","3,329",1.38,Q3,0.8,3.38%
IEEE TRANSACTIONS ON PLASMA SCIENCE,IEEE T PLASMA SCI,0093-3813,1939-9375,"PHYSICS, FLUIDS & PLASMAS - SCIE","11,908",1.368,Q4,0.47,2.29%
BRAZILIAN JOURNAL OF PHYSICS,BRAZ J PHYS,0103-9733,1678-4448,"PHYSICS, MULTIDISCIPLINARY - SCIE","1,799",1.364,Q3,0.31,0.53%
Advances in Mathematical Physics,ADV MATH PHYS,1687-9120,1687-9139,"PHYSICS, MATHEMATICAL - SCIE","1,068",1.364,Q3,0.49,99.50%
Open Physics,OPEN PHYS,2391-5471,2391-5471,"PHYSICS, MULTIDISCIPLINARY - SCIE",868,1.361,Q3,0.3,90.32%
CANADIAN JOURNAL OF PHYSICS,CAN J PHYS,0008-4204,1208-6045,"PHYSICS, MULTIDISCIPLINARY - SCIE","5,244",1.358,Q3,0.34,0%
INTERNATIONAL JOURNAL OF MODERN PHYSICS C,INT J MOD PHYS C,0129-1831,1793-6586,"PHYSICS, MATHEMATICAL - SCIE","2,558",1.353,Q3,0.39,0.63%
ANNALES HENRI POINCARE,ANN HENRI POINCARE,1424-0637,1424-0661,"PHYSICS, MATHEMATICAL - SCIE; PHYSICS, MULTIDISCIPLINARY - SCIE","1,843",1.338,Q3,0.42,32.43%
Advances in Condensed Matter Physics,ADV COND MATTER PHYS,1687-8108,1687-8124,"PHYSICS, CONDENSED MATTER - SCIE",883,1.316,Q4,0.17,98.78%
INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS,INT J THEOR PHYS,0020-7748,1572-9575,"PHYSICS, MULTIDISCIPLINARY - SCIE","6,317",1.308,Q4,0.36,1.94%
FOUNDATIONS OF PHYSICS,FOUND PHYS,0015-9018,1572-9516,"PHYSICS, MULTIDISCIPLINARY - SCIE","2,719",1.276,Q4,0.37,31.20%
SURFACE REVIEW AND LETTERS,SURF REV LETT,0218-625X,1793-6667,"PHYSICS, CONDENSED MATTER - SCIE","1,457",1.24,Q4,0.17,0.19%
Random Matrices-Theory and Applications,RANDOM MATRICES-THEO,2010-3263,2010-3271,"PHYSICS, MATHEMATICAL - SCIE",314,1.209,Q3,0.45,1.19%
PHILOSOPHICAL MAGAZINE LETTERS,PHIL MAG LETT,0950-0839,1362-3036,"PHYSICS, CONDENSED MATTER - SCIE","2,320",1.195,Q4,0.2,2.45%
High Energy Density Physics,HIGH ENERG DENS PHYS,1574-1818,1878-0563,"PHYSICS, FLUIDS & PLASMAS - SCIE",945,1.19,Q4,0.4,6.36%
Advances in Applied Clifford Algebras,ADV APPL CLIFFORD AL,0188-7009,1661-4909,"PHYSICS, MATHEMATICAL - SCIE","1,052",1.185,Q3,0.56,12.40%
JOURNAL OF NONLINEAR MATHEMATICAL PHYSICS,J NONLINEAR MATH PHY,1402-9251,1776-0852,"PHYSICS, MATHEMATICAL - SCIE",845,1.163,Q3,0.53,40.71%
University Politehnica of Bucharest Scientific Bulletin-Series A-Applied Mathematics and Physics,U POLITEH BUCH SER A,1223-7027,N/A,"PHYSICS, MULTIDISCIPLINARY - SCIE",743,1.16,Q4,0.4,0%
PLASMA PHYSICS REPORTS,PLASMA PHYS REP+,1063-780X,1562-6938,"PHYSICS, FLUIDS & PLASMAS - SCIE","1,717",1.133,Q4,0.37,2.97%
JOURNAL OF EXPERIMENTAL AND THEORETICAL PHYSICS,J EXP THEOR PHYS+,1063-7761,1090-6509,"PHYSICS, MULTIDISCIPLINARY - SCIE","13,558",1.111,Q4,0.29,0.51%
Physics of Wave Phenomena,PHYS WAVE PHENOM,1541-308X,1934-807X,"PHYSICS, MULTIDISCIPLINARY - SCIE",259,1.108,Q4,0.28,0%
Semiconductors and Semimetals,SEMICONDUCT SEMIMET,0080-8784,N/A,"PHYSICS, CONDENSED MATTER - SCIE",671,1.082,Q4,0.21,0%
Radiophysics and Quantum Electronics,RADIOPHYS QUANT EL+,0033-8443,1573-9120,"PHYSICS, FLUIDS & PLASMAS - SCIE","1,253",1.078,Q4,0.21,0%
QUANTUM INFORMATION & COMPUTATION,QUANTUM INF COMPUT,1533-7146,1533-7146,"PHYSICS, MATHEMATICAL - SCIE","1,902",1.069,Q3,0.3,0%
MATHEMATICAL PHYSICS ANALYSIS AND GEOMETRY,MATH PHYS ANAL GEOM,1385-0172,1572-9656,"PHYSICS, MATHEMATICAL - SCIE",436,1.027,Q4,0.42,25%
Radiation Effects and Defects in Solids,RADIAT EFF DEFECT S,1042-0150,1029-4953,"PHYSICS, FLUIDS & PLASMAS - SCIE; PHYSICS, CONDENSED MATTER - SCIE","1,781",1.024,Q4,0.34,1.37%
INTERNATIONAL JOURNAL OF QUANTUM INFORMATION,INT J QUANTUM INF,0219-7499,1793-6918,"PHYSICS, MATHEMATICAL - SCIE","1,251",0.979,Q4,0.31,2.73%
ACTA PHYSICA SINICA,ACTA PHYS SIN-CH ED,1000-3290,N/A,"PHYSICS, MULTIDISCIPLINARY - SCIE","6,791",0.906,Q4,0.19,99.21%
EUROPEAN JOURNAL OF PHYSICS,EUR J PHYS,0143-0807,1361-6404,"PHYSICS, MULTIDISCIPLINARY - SCIE","2,811",0.883,Q4,0.33,9.58%
European Physical Journal H,EUR PHYS J H,2102-6459,2102-6467,"PHYSICS, MULTIDISCIPLINARY - SCIE",224,0.87,Q4,0.57,29.41%
PHYSICS OF THE SOLID STATE,PHYS SOLID STATE+,1063-7834,1090-6460,"PHYSICS, CONDENSED MATTER - SCIE","5,834",0.848,Q4,0.15,0%
INDIAN JOURNAL OF PURE & APPLIED PHYSICS,INDIAN J PURE AP PHY,0019-5596,0975-1041,"PHYSICS, MULTIDISCIPLINARY - SCIE","1,811",0.846,Q4,0.18,0%
INTEGRATED FERROELECTRICS,INTEGR FERROELECTR,1058-4587,1607-8489,"PHYSICS, CONDENSED MATTER - SCIE","1,812",0.836,Q4,0.17,0.17%
AMERICAN JOURNAL OF PHYSICS,AM J PHYS,0002-9505,1943-2909,"PHYSICS, MULTIDISCIPLINARY - SCIE","9,548",0.835,Q4,0.33,4.94%
INFINITE DIMENSIONAL ANALYSIS QUANTUM PROBABILITY AND RELATED TOPICS,INFIN DIMENS ANAL QU,0219-0257,1793-6306,"PHYSICS, MATHEMATICAL - SCIE","1,165",0.828,Q4,0.29,1.20%
Symmetry Integrability and Geometry-Methods and Applications,SYMMETRY INTEGR GEOM,1815-0659,N/A,"PHYSICS, MATHEMATICAL - SCIE","1,305",0.817,Q4,0.33,99.72%
REPORTS ON MATHEMATICAL PHYSICS,REP MATH PHYS,0034-4877,1879-0674,"PHYSICS, MATHEMATICAL - SCIE","1,324",0.808,Q4,0.29,0%
COMPUTATIONAL MATHEMATICS AND MATHEMATICAL PHYSICS,COMP MATH MATH PHYS+,0965-5425,1555-6662,"PHYSICS, MATHEMATICAL - SCIE","2,921",0.769,Q4,0.31,0.20%
Journal of Noncommutative Geometry,J NONCOMMUT GEOM,1661-6952,1661-6960,"PHYSICS, MATHEMATICAL - SCIE",411,0.768,Q4,0.42,0%
Magnetohydrodynamics,MAGNETOHYDRODYNAMICS,0024-998X,1574-0579,"PHYSICS, FLUIDS & PLASMAS - SCIE",711,0.753,Q4,0.16,0%
Condensed Matter Physics,CONDENS MATTER PHYS,1607-324X,2224-9079,"PHYSICS, CONDENSED MATTER - SCIE",580,0.75,Q4,0.15,92.42%
Journal of Geometric Mechanics,J GEOM MECH,1941-4889,1941-4897,"PHYSICS, MATHEMATICAL - SCIE",181,0.737,Q4,0.36,100%
ACTA PHYSICA POLONICA A,ACTA PHYS POL A,0587-4246,1898-794X,"PHYSICS, MULTIDISCIPLINARY - SCIE","4,678",0.725,Q4,0.16,99.53%
DOKLADY PHYSICS,DOKL PHYS,1028-3358,1562-6903,"PHYSICS, MULTIDISCIPLINARY - SCIE",889,0.718,Q4,0.18,1.08%
FERROELECTRICS,FERROELECTRICS,0015-0193,1563-5112,"PHYSICS, CONDENSED MATTER - SCIE","6,124",0.695,Q4,0.11,0.69%
Journal of Mathematical Physics Analysis Geometry,J MATH PHYS ANAL GEO,1812-9471,1817-5805,"PHYSICS, MATHEMATICAL - SCIE",147,0.692,Q4,0.33,0%
THEORETICAL AND MATHEMATICAL PHYSICS,THEOR MATH PHYS+,0040-5779,1573-9333,"PHYSICS, MATHEMATICAL - SCIE; PHYSICS, MULTIDISCIPLINARY - SCIE","2,758",0.685,Q4,0.29,0%
Fluid Dynamics,FLUID DYNAM+,0015-4628,1573-8507,"PHYSICS, FLUIDS & PLASMAS - SCIE","1,404",0.673,Q4,0.18,2.32%
DYNAMICAL SYSTEMS-AN INTERNATIONAL JOURNAL,DYNAM SYST,1468-9367,1468-9375,"PHYSICS, MATHEMATICAL - SCIE",509,0.663,Q4,0.25,0.85%
SEMICONDUCTORS,SEMICONDUCTORS+,1063-7826,1090-6479,"PHYSICS, CONDENSED MATTER - SCIE","2,306",0.66,Q4,0.11,0%
JOURNAL OF THE KOREAN PHYSICAL SOCIETY,J KOREAN PHYS SOC,0374-4884,1976-8524,"PHYSICS, MULTIDISCIPLINARY - SCIE","4,104",0.657,Q4,0.15,0.73%
Lithuanian Journal of Physics,LITH J PHYS,1648-8504,1648-8504,"PHYSICS, MULTIDISCIPLINARY - SCIE",275,0.638,Q4,0.16,0%
Journal of Hyperbolic Differential Equations,J HYPERBOL DIFFER EQ,0219-8916,1793-6993,"PHYSICS, MATHEMATICAL - SCIE",539,0.635,Q4,0.37,0%
Russian Physics Journal,RUSS PHYS J+,1064-8887,1573-9228,"PHYSICS, MULTIDISCIPLINARY - SCIE","1,566",0.616,Q4,0.16,0%
OPEN SYSTEMS & INFORMATION DYNAMICS,OPEN SYST INF DYN,1230-1612,1793-7191,"PHYSICS, MATHEMATICAL - SCIE",421,0.571,Q4,0.26,0%
PHYSICS TEACHER,PHYS TEACH,0031-921X,1943-4928,"PHYSICS, MULTIDISCIPLINARY - SCIE","1,388",0.566,Q4,0.19,0.23%
ACTA PHYSICA POLONICA B,ACTA PHYS POL B,0587-4254,1509-5770,"PHYSICS, MULTIDISCIPLINARY - SCIE","2,040",0.556,Q4,0.17,61.36%
Journal of Magnetics,J MAGN,1226-1750,2233-6656,"PHYSICS, CONDENSED MATTER - SCIE",497,0.551,Q4,0.1,0%
Moscow University Physics Bulletin,MOSC U PHYS B+,0027-1349,1934-8460,"PHYSICS, MULTIDISCIPLINARY - SCIE",387,0.536,Q4,0.14,0%
PHYSICS WORLD,PHYS WORLD,0953-8585,0953-8585,"PHYSICS, MULTIDISCIPLINARY - SCIE",698,0.515,Q4,0.04,0%
FERROELECTRICS LETTERS SECTION,FERROELECTRICS LETT,0731-5171,1563-5228,"PHYSICS, CONDENSED MATTER - SCIE",330,0.5,Q4,0.11,0%
Journal of Contemporary Physics-Armenian Academy of Sciences,J CONTEMP PHYS-ARME+,1068-3372,1934-9378,"PHYSICS, MULTIDISCIPLINARY - SCIE",174,0.486,Q4,0.12,0%
Bulletin of the Lebedev Physics Institute,B LEBEDEV PHYS INST+,1068-3356,1934-838X,"PHYSICS, MULTIDISCIPLINARY - SCIE",326,0.422,Q4,0.12,0%
Journal of Computational and Theoretical Transport,J COMPUT THEOR TRANS,2332-4309,2332-4325,"PHYSICS, MATHEMATICAL - SCIE",474,0.348,Q4,0.21,12.07%
,,,,,,,,,
Copyright (c) 2022 Clarivate ,,,,,,,,,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,
