Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA,J PHYS CHEM REF DATA,0047-2689,1529-7845,"PHYSICS, MULTIDISCIPLINARY - SCIE","8,886",5.048,Q2,0.67,14.29%
PHYSICS OF FLUIDS,PHYS FLUIDS,1070-6631,1089-7666,"PHYSICS, FLUIDS & PLASMAS - SCIE","55,662",4.98,Q1,1.35,4.78%
COMPUTER PHYSICS COMMUNICATIONS,COMPUT PHYS COMMUN,0010-4655,1879-2944,"PHYSICS, MATHEMATICAL - SCIE","28,663",4.717,Q1,1.6,10.74%
JOURNAL OF COMPUTATIONAL PHYSICS,J COMPUT PHYS,0021-9991,1090-2716,"PHYSICS, MATHEMATICAL - SCIE","68,920",4.645,Q1,1.21,4.96%
MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,MAT SCI SEMICON PROC,1369-8001,1873-4081,"PHYSICS, CONDENSED MATTER - SCIE","14,529",4.644,Q2,0.94,1.53%
Results in Physics,RESULTS PHYS,2211-3797,2211-3797,"PHYSICS, MULTIDISCIPLINARY - SCIE","18,113",4.565,Q2,0.99,99.44%
JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS,J PHYS CHEM SOLIDS,0022-3697,1879-2553,"PHYSICS, CONDENSED MATTER - SCIE","22,520",4.383,Q2,0.77,0.37%
JOURNAL OF FLUID MECHANICS,J FLUID MECH,0022-1120,1469-7645,"PHYSICS, FLUIDS & PLASMAS - SCIE","86,859",4.245,Q1,1.2,21.35%
NUCLEAR FUSION,NUCL FUSION,0029-5515,1741-4326,"PHYSICS, FLUIDS & PLASMAS - SCIE","18,627",4.215,Q1,1.31,8.03%
Communications in Nonlinear Science and Numerical Simulation,COMMUN NONLINEAR SCI,1007-5704,1878-7274,"PHYSICS, FLUIDS & PLASMAS - SCIE; PHYSICS, MATHEMATICAL - SCIE","15,955",4.186,Q1,1.71,3.84%
PLASMA SOURCES SCIENCE & TECHNOLOGY,PLASMA SOURCES SCI T,0963-0252,1361-6595,"PHYSICS, FLUIDS & PLASMAS - SCIE","12,056",4.124,Q1,1.26,12.32%
Waves in Random and Complex Media,WAVE RANDOM COMPLEX,1745-5030,1745-5049,"PHYSICS, MULTIDISCIPLINARY - SCIE","2,996",4.051,Q2,0.93,0.42%
Soft Matter,SOFT MATTER,1744-683X,1744-6848,"PHYSICS, MULTIDISCIPLINARY - SCIE","46,522",4.046,Q2,0.73,16.67%
SYNTHETIC METALS,SYNTHETIC MET,0379-6779,0379-6779,"PHYSICS, CONDENSED MATTER - SCIE","15,080",4,Q2,0.71,0.99%
CHINESE JOURNAL OF PHYSICS,CHINESE J PHYS,0577-9073,0577-9073,"PHYSICS, MULTIDISCIPLINARY - SCIE","5,297",3.957,Q2,0.93,0.88%
PHYSICS TODAY,PHYS TODAY,0031-9228,1945-0699,"PHYSICS, MULTIDISCIPLINARY - SCIE","5,800",3.938,Q2,0.63,14.75%
PHYSICAL REVIEW B,PHYS REV B,2469-9950,2469-9969,"PHYSICS, CONDENSED MATTER - SCIE","421,250",3.908,Q2,0.76,12.05%
Solid State Physics,SOLID STATE PHYS,0081-1947,N/A,"PHYSICS, CONDENSED MATTER - SCIE","2,332",3.9,Q2,0.13,0%
Plasma Processes and Polymers,PLASMA PROCESS POLYM,1612-8850,1612-8869,"PHYSICS, FLUIDS & PLASMAS - SCIE; PHYSICS, CONDENSED MATTER - SCIE","5,180",3.877,Q1,0.8,15%
CLASSICAL AND QUANTUM GRAVITY,CLASSICAL QUANT GRAV,0264-9381,1361-6382,"PHYSICS, MULTIDISCIPLINARY - SCIE","26,315",3.853,Q2,0.91,9.27%
DIAMOND AND RELATED MATERIALS,DIAM RELAT MATER,0925-9635,1879-0062,"PHYSICS, CONDENSED MATTER - SCIE","12,705",3.806,Q2,0.7,1.98%
Communications in Computational Physics,COMMUN COMPUT PHYS,1815-2406,1991-7120,"PHYSICS, MATHEMATICAL - SCIE","4,169",3.791,Q1,0.82,0%
PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,PHYSICA A,0378-4371,1873-2119,"PHYSICS, MULTIDISCIPLINARY - SCIE","40,841",3.778,Q2,0.95,1.93%
European Physical Journal Plus,EUR PHYS J PLUS,2190-5444,2190-5444,"PHYSICS, MULTIDISCIPLINARY - SCIE","13,020",3.758,Q2,0.94,7.51%
SOLID STATE SCIENCES,SOLID STATE SCI,1293-2558,1873-3085,"PHYSICS, CONDENSED MATTER - SCIE","8,801",3.752,Q2,0.7,0.55%
PHYSICA D-NONLINEAR PHENOMENA,PHYSICA D,0167-2789,1872-8022,"PHYSICS, FLUIDS & PLASMAS - SCIE; PHYSICS, MATHEMATICAL - SCIE; PHYSICS, MULTIDISCIPLINARY - SCIE","14,768",3.751,Q1,1.26,4.68%
Materials,MATERIALS,N/A,1996-1944,"PHYSICS, CONDENSED MATTER - SCIE","78,439",3.748,Q2,0.62,95.17%
CHAOS,CHAOS,1054-1500,1089-7682,"PHYSICS, MATHEMATICAL - SCIE","13,832",3.741,Q1,1.59,6.43%
Frontiers in Physics,FRONT PHYS-LAUSANNE,2296-424X,2296-424X,"PHYSICS, MULTIDISCIPLINARY - SCIE","4,890",3.718,Q2,0.73,99.49%
NEW JOURNAL OF PHYSICS,NEW J PHYS,1367-2630,1367-2630,"PHYSICS, MULTIDISCIPLINARY - SCIE","36,042",3.716,Q2,0.97,99.39%
SOLID STATE IONICS,SOLID STATE IONICS,0167-2738,1872-7689,"PHYSICS, CONDENSED MATTER - SCIE","27,548",3.699,Q2,0.59,2.57%
RIVISTA DEL NUOVO CIMENTO,RIV NUOVO CIMENTO,0393-697X,1826-9850,"PHYSICS, MULTIDISCIPLINARY - SCIE",944,3.609,Q2,0.69,28.95%
NONLINEAR PROCESSES IN GEOPHYSICS,NONLINEAR PROC GEOPH,1023-5809,1607-7946,"PHYSICS, FLUIDS & PLASMAS - SCIE","2,381",3.534,Q2,0.72,98.94%
SUPERCONDUCTOR SCIENCE & TECHNOLOGY,SUPERCOND SCI TECH,0953-2048,1361-6668,"PHYSICS, CONDENSED MATTER - SCIE","9,551",3.482,Q2,0.6,14.50%
JOURNAL OF NONLINEAR SCIENCE,J NONLINEAR SCI,0938-8974,1432-1467,"PHYSICS, MATHEMATICAL - SCIE","2,451",3.443,Q1,1.34,24.28%
Materials Science and Engineering B-Advanced Functional Solid-State Materials,MATER SCI ENG B-ADV,0921-5107,1873-4944,"PHYSICS, CONDENSED MATTER - SCIE","13,361",3.407,Q2,0.58,1.85%
EXPERIMENTAL THERMAL AND FLUID SCIENCE,EXP THERM FLUID SCI,0894-1777,1879-2286,"PHYSICS, FLUIDS & PLASMAS - SCIE","16,063",3.37,Q2,1.03,3.18%
PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES,PHYSICA E,1386-9477,1873-1759,"PHYSICS, CONDENSED MATTER - SCIE","11,835",3.369,Q2,0.58,1.11%
PLASMA CHEMISTRY AND PLASMA PROCESSING,PLASMA CHEM PLASMA P,0272-4324,1572-8986,"PHYSICS, FLUIDS & PLASMAS - SCIE","4,005",3.337,Q2,0.75,7.53%
Physica Status Solidi-Rapid Research Letters,PHYS STATUS SOLIDI-R,1862-6254,1862-6270,"PHYSICS, CONDENSED MATTER - SCIE","4,666",3.277,Q2,0.51,12.41%
Biomicrofluidics,BIOMICROFLUIDICS,N/A,1932-1058,"PHYSICS, FLUIDS & PLASMAS - SCIE","4,846",3.258,Q2,0.65,11.15%
SUPERLATTICES AND MICROSTRUCTURES,SUPERLATTICE MICROST,0749-6036,1096-3677,"PHYSICS, CONDENSED MATTER - SCIE","10,583",3.22,Q2,0.48,0.54%
JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,J MAGN MAGN MATER,0304-8853,1873-4766,"PHYSICS, CONDENSED MATTER - SCIE","45,543",3.097,Q3,0.56,3.10%
Microfluidics and Nanofluidics,MICROFLUID NANOFLUID,1613-4982,1613-4990,"PHYSICS, FLUIDS & PLASMAS - SCIE","6,156",3.09,Q2,0.68,10.90%
PHYSICA SCRIPTA,PHYS SCRIPTA,0031-8949,1402-4896,"PHYSICS, MULTIDISCIPLINARY - SCIE","15,231",3.081,Q2,0.73,2.04%
ANNALS OF PHYSICS,ANN PHYS-NEW YORK,0003-4916,1096-035X,"PHYSICS, MULTIDISCIPLINARY - SCIE","15,728",3.036,Q2,0.73,2.69%
ANNALEN DER PHYSIK,ANN PHYS-BERLIN,0003-3804,1521-3889,"PHYSICS, MULTIDISCIPLINARY - SCIE","8,578",3.012,Q2,0.65,7.13%
SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS,SIAM J APPL DYN SYST,1536-0040,N/A,"PHYSICS, MATHEMATICAL - SCIE","2,614",2.994,Q1,1.22,3.63%
PHYSICA B-CONDENSED MATTER,PHYSICA B,0921-4526,1873-2135,"PHYSICS, CONDENSED MATTER - SCIE","22,697",2.988,Q3,0.47,0.80%
IONICS,IONICS,0947-7047,1862-0760,"PHYSICS, CONDENSED MATTER - SCIE","9,467",2.961,Q3,0.43,1.59%
PHYSICS-USPEKHI,PHYS-USP+,1063-7869,1468-4780,"PHYSICS, MULTIDISCIPLINARY - SCIE","6,640",2.943,Q2,0.34,0%
Physical Review Fluids,PHYS REV FLUIDS,2469-990X,2469-990X,"PHYSICS, FLUIDS & PLASMAS - SCIE","7,682",2.895,Q2,0.98,13.73%
THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS,THEOR COMP FLUID DYN,0935-4964,1432-2250,"PHYSICS, FLUIDS & PLASMAS - SCIE","1,749",2.892,Q2,0.73,10.71%
European Physical Journal-Special Topics,EUR PHYS J-SPEC TOP,1951-6355,1951-6401,"PHYSICS, MULTIDISCIPLINARY - SCIE","6,137",2.891,Q2,0.7,17.57%
COMMUNICATIONS IN THEORETICAL PHYSICS,COMMUN THEOR PHYS,0253-6102,1572-9494,"PHYSICS, MULTIDISCIPLINARY - SCIE","4,042",2.877,Q2,0.59,0%
GENERAL RELATIVITY AND GRAVITATION,GEN RELAT GRAVIT,0001-7701,1572-9532,"PHYSICS, MULTIDISCIPLINARY - SCIE","7,454",2.84,Q2,0.52,8.22%
SOLID STATE NUCLEAR MAGNETIC RESONANCE,SOLID STATE NUCL MAG,0926-2040,1527-3326,"PHYSICS, CONDENSED MATTER - SCIE","1,566",2.812,Q3,0.59,8%
IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,IEEE T SEMICONDUCT M,0894-6507,1558-2345,"PHYSICS, CONDENSED MATTER - SCIE","2,185",2.796,Q3,0.63,4.09%
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,J MATER SCI-MATER EL,0957-4522,1573-482X,"PHYSICS, CONDENSED MATTER - SCIE","34,378",2.779,Q3,0.51,1.19%
JOURNAL OF PHYSICS-CONDENSED MATTER,J PHYS-CONDENS MAT,0953-8984,1361-648X,"PHYSICS, CONDENSED MATTER - SCIE","53,017",2.745,Q3,0.43,8.84%
Entropy,ENTROPY-SWITZ,N/A,1099-4300,"PHYSICS, MULTIDISCIPLINARY - SCIE","17,367",2.738,Q2,0.62,95.60%
PHYSICAL REVIEW E,PHYS REV E,2470-0045,2470-0053,"PHYSICS, MATHEMATICAL - SCIE; PHYSICS, FLUIDS & PLASMAS - SCIE","113,485",2.707,Q1,0.99,8.63%
PHYSICS LETTERS A,PHYS LETT A,0375-9601,1873-2429,"PHYSICS, MULTIDISCIPLINARY - SCIE","31,512",2.707,Q2,0.68,1.91%
PRAMANA-JOURNAL OF PHYSICS,PRAMANA-J PHYS,0304-4289,0973-7111,"PHYSICS, MULTIDISCIPLINARY - SCIE","3,759",2.699,Q3,0.59,0%
Annals of PDE,ANN PDE,2524-5317,2199-2576,"PHYSICS, MATHEMATICAL - SCIE",289,2.697,Q1,1.45,12.28%
JOURNAL OF PLASMA PHYSICS,J PLASMA PHYS,0022-3778,1469-7807,"PHYSICS, FLUIDS & PLASMAS - SCIE","3,156",2.691,Q2,0.85,22.31%
EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,EUR J MECH B-FLUID,0997-7546,1873-7390,"PHYSICS, FLUIDS & PLASMAS - SCIE","4,121",2.598,Q3,0.79,3.64%
PLASMA PHYSICS AND CONTROLLED FUSION,PLASMA PHYS CONTR F,0741-3335,1361-6587,"PHYSICS, FLUIDS & PLASMAS - SCIE","10,699",2.532,Q3,0.98,13.73%
INVERSE PROBLEMS,INVERSE PROBL,0266-5611,1361-6420,"PHYSICS, MATHEMATICAL - SCIE","8,741",2.408,Q1,1.08,15.33%
JOURNAL OF TURBULENCE,J TURBUL,1468-5248,1468-5248,"PHYSICS, FLUIDS & PLASMAS - SCIE","1,728",2.395,Q3,0.59,6.73%
COMMUNICATIONS IN MATHEMATICAL PHYSICS,COMMUN MATH PHYS,0010-3616,1432-0916,"PHYSICS, MATHEMATICAL - SCIE","24,782",2.361,Q1,0.91,26.15%
THIN SOLID FILMS,THIN SOLID FILMS,0040-6090,1879-2731,"PHYSICS, CONDENSED MATTER - SCIE","39,670",2.358,Q3,0.43,2.46%
PHYSICS OF PLASMAS,PHYS PLASMAS,1070-664X,1089-7674,"PHYSICS, FLUIDS & PLASMAS - SCIE","34,221",2.357,Q3,0.77,6.11%
Journal of Physics A-Mathematical and Theoretical,J PHYS A-MATH THEOR,1751-8113,1751-8121,"PHYSICS, MATHEMATICAL - SCIE; PHYSICS, MULTIDISCIPLINARY - SCIE","28,633",2.331,Q1,0.69,12.04%
CHINESE PHYSICS LETTERS,CHINESE PHYS LETT,0256-307X,1741-3540,"PHYSICS, MULTIDISCIPLINARY - SCIE","6,719",2.293,Q3,0.45,0%
JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT,J STAT MECH-THEORY E,1742-5468,1742-5468,"PHYSICS, MATHEMATICAL - SCIE","10,509",2.234,Q2,0.73,3.35%
WAVE MOTION,WAVE MOTION,0165-2125,1878-433X,"PHYSICS, MULTIDISCIPLINARY - SCIE","3,040",2.174,Q3,0.63,4.88%
PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,PHYS STATUS SOLIDI A,1862-6300,1862-6319,"PHYSICS, CONDENSED MATTER - SCIE","14,210",2.17,Q3,0.36,11.72%
INTERNATIONAL JOURNAL OF NONLINEAR SCIENCES AND NUMERICAL SIMULATION,INT J NONLIN SCI NUM,1565-1339,2191-0294,"PHYSICS, MATHEMATICAL - SCIE","1,685",2.156,Q2,0.77,3.49%
SIAM-ASA Journal on Uncertainty Quantification,SIAM-ASA J UNCERTAIN,2166-2525,2166-2525,"PHYSICS, MATHEMATICAL - SCIE","1,031",2.089,Q2,0.79,3.85%
Romanian Reports in Physics,ROM REP PHYS,1221-1451,1841-8759,"PHYSICS, MULTIDISCIPLINARY - SCIE","1,205",2.085,Q3,0.51,0%
SURFACE SCIENCE,SURF SCI,0039-6028,1879-2758,"PHYSICS, CONDENSED MATTER - SCIE","20,563",2.07,Q3,0.32,5.21%
SEMICONDUCTOR SCIENCE AND TECHNOLOGY,SEMICOND SCI TECH,0268-1242,1361-6641,"PHYSICS, CONDENSED MATTER - SCIE","9,410",2.048,Q3,0.4,5.69%
Quantum Information Processing,QUANTUM INF PROCESS,1570-0755,1573-1332,"PHYSICS, MATHEMATICAL - SCIE; PHYSICS, MULTIDISCIPLINARY - SCIE","5,624",1.965,Q2,0.66,5.26%
MULTISCALE MODELING & SIMULATION,MULTISCALE MODEL SIM,1540-3459,1540-3467,"PHYSICS, MATHEMATICAL - SCIE","2,927",1.961,Q2,0.65,0%
EPL,EPL-EUROPHYS LETT,0295-5075,1286-4854,"PHYSICS, MULTIDISCIPLINARY - SCIE","22,704",1.958,Q3,0.49,2.72%
MODERN PHYSICS LETTERS B,MOD PHYS LETT B,0217-9849,1793-6640,"PHYSICS, MATHEMATICAL - SCIE; PHYSICS, CONDENSED MATTER - SCIE","5,074",1.948,Q2,0.43,1.19%
PHILOSOPHICAL MAGAZINE,PHILOS MAG,1478-6435,1478-6443,"PHYSICS, CONDENSED MATTER - SCIE","17,018",1.948,Q3,0.35,3.91%
