Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,J ROY SOC NEW ZEAL,0303-6758,1175-8899,MULTIDISCIPLINARY SCIENCES - SCIE,"1,051",2.47,Q3,0.61,25%
JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE,J INDIAN I SCI,0970-4140,0019-4964,MULTIDISCIPLINARY SCIENCES - SCIE,724,2.456,Q3,0.18,6.08%
INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,INT J BIFURCAT CHAOS,0218-1274,1793-6551,MULTIDISCIPLINARY SCIENCES - SCIE,"9,035",2.45,Q3,0.85,3.37%
Science of Nature,SCI NAT-HEIDELBERG,0028-1042,1432-1904,MULTIDISCIPLINARY SCIENCES - SCIE,"1,173",2.427,Q3,0.72,20.12%
SOUTH AFRICAN JOURNAL OF SCIENCE,S AFR J SCI,0038-2353,1996-7489,MULTIDISCIPLINARY SCIENCES - SCIE,"3,450",2.134,Q3,0.46,99.53%
COMPLEXITY,COMPLEXITY,1076-2787,1099-0526,MULTIDISCIPLINARY SCIENCES - SCIE,"9,102",2.121,Q3,0.74,99.03%
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,AN ACAD BRAS CIENC,0001-3765,1678-2690,MULTIDISCIPLINARY SCIENCES - SCIE,"5,791",1.811,Q3,0.46,92.28%
RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI,REND LINCEI-SCI FIS,2037-4631,1720-0776,MULTIDISCIPLINARY SCIENCES - SCIE,"1,571",1.81,Q3,0.47,15.30%
Journal of Radiation Research and Applied Sciences,J RADIAT RES APPL SC,1687-8507,1687-8507,MULTIDISCIPLINARY SCIENCES - SCIE,"2,048",1.773,Q3,0.48,94.62%
SCIENTIST,SCIENTIST,0890-3670,1547-0806,MULTIDISCIPLINARY SCIENCES - SCIE,469,1.717,Q3,0.01,0%
ISSUES IN SCIENCE AND TECHNOLOGY,ISSUES SCI TECHNOL,0748-5492,1938-1557,MULTIDISCIPLINARY SCIENCES - SCIE,650,1.649,Q3,0.26,0%
Iranian Journal of Science and Technology Transaction A-Science,IRAN J SCI TECHNOL A,1028-6276,2364-1819,MULTIDISCIPLINARY SCIENCES - SCIE,"1,745",1.553,Q3,0.52,1.44%
SCIENCE PROGRESS,SCI PROGRESS-UK,0036-8504,2047-7163,MULTIDISCIPLINARY SCIENCES - SCIE,"1,295",1.512,Q3,0.64,93.20%
DISCRETE DYNAMICS IN NATURE AND SOCIETY,DISCRETE DYN NAT SOC,1026-0226,1607-887X,MULTIDISCIPLINARY SCIENCES - SCIE,"2,900",1.457,Q3,0.43,98.11%
Jove-Journal of Visualized Experiments,JOVE-J VIS EXP,1940-087X,N/A,MULTIDISCIPLINARY SCIENCES - SCIE,"24,901",1.424,Q3,0.28,0.94%
Frontiers in Life Science,FRONT LIFE SCI,2155-3769,2155-3777,MULTIDISCIPLINARY SCIENCES - SCIE,566,1.333,Q3,0.28,100%
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES,P NATL A SCI INDIA A,0369-8203,2250-1762,MULTIDISCIPLINARY SCIENCES - SCIE,756,1.291,Q3,0.41,0.34%
