Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
International Journal of RF Technologies-Research and Applications,INT J RF TECHNOL-RES,1754-5730,1754-5749,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",73,N/A,N/A,0.11,0%
International Journal of Information Technology and Web Engineering,INT J INF TECHNOL WE,1554-1045,1554-1053,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",108,N/A,N/A,0.22,0%
IEEE Revista Iberoamericana de Tecnologias del Aprendizaje-IEEE RITA,IEEE REV IBEROAM TEC,N/A,1932-8540,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",274,N/A,N/A,0.27,0%
International Journal of Computational Intelligence and Applications,INT J COMPUT INTELL,1469-0268,1757-5885,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",551,N/A,N/A,0.25,1.20%
International Journal of Innovative Computing Information and Control,INT J INNOV COMPUT I,1349-4198,1349-418X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,481",N/A,N/A,0.16,0%
International Journal of Information Technologies and Systems Approach,INT J INF TECHNOL SY,1935-570X,1935-5718,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",58,N/A,N/A,0.1,0%
IADIS-International Journal on Computer Science and Information Systems,IADIS-INT J COMPUT S,1646-3692,1646-3692,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",35,N/A,N/A,0.01,0%
International Journal of Cognitive Informatics and Natural Intelligence,INT J COGN INFORM NA,1557-3958,1557-3966,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",166,N/A,N/A,0.19,57.43%
International Journal of Communication Networks and Distributed Systems,INT J COMMUN NETW DI,1754-3916,1754-3924,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",287,N/A,N/A,0.29,0.82%
Inteligencia Artificial-Iberoamerical Journal of Artificial Intelligence,INTELIGENCIA ARTIFIC,1137-3601,1988-3064,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",241,N/A,N/A,0.12,79.03%
Journal of Advanced Computational Intelligence and Intelligent Informatics,J ADV COMPUT INTELL,1343-0130,1883-8014,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",513,N/A,N/A,0.08,71.96%
International Journal of Agricultural and Environmental Information Systems,INT J AGRIC ENVIRON,1947-3192,1947-3206,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",141,N/A,N/A,0.19,42.62%
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,ACM TRANS MODELING P,2376-3639,2376-3647,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",114,N/A,N/A,0.41,0%
ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal,ADCAIJ-ADV DISTRIB C,2255-2863,2255-2863,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",91,N/A,N/A,0.05,77.38%
International Journal of Knowledge-Based and Intelligent Engineering Systems,INT J KNOWL-BASED IN,1327-2314,1875-8827,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",183,N/A,N/A,0.13,0%
International Journal of Software Science and Computational Intelligence-IJSSCI,INT J SOFTW SCI COMP,1942-9045,1942-9037,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",97,N/A,N/A,0.57,0%
Romanian Journal of Information Technology and Automatic Control-Revista Romana de Informatica si Automatica,ROM J INF TECH AUT C,1220-1758,1841-4303,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",33,N/A,N/A,0.08,98.25%
Communications in Information and Systems,COMMUN INF SYST,1526-7555,2163-4548,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",293,N/A,N/A,0.2,0%
IEEE Open Journal of the Computer Society,IEEE OPEN J COMP SOC,N/A,2644-1268,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",104,N/A,N/A,0.91,100%
Journal of Information Processing Systems,J INF PROCESS SYST,1976-913X,2092-805X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",790,N/A,N/A,0.47,0%
Machine Learning and Knowledge Extraction,MACH LEARN KNOW EXTR,N/A,2504-4990,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",395,N/A,N/A,0.64,98.57%
Revista Brasileira de Computacao Aplicada,REV BRAS COMPUT APL,2176-6649,2176-6649,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",28,N/A,N/A,0.03,97%
