Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
NEW ZEALAND JOURNAL OF ZOOLOGY,NEW ZEAL J ZOOL,0301-4223,1175-8821,ZOOLOGY - SCIE,"1,018",1.3,Q2,0.48,5.71%
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,AN ACAD BRAS CIENC,0001-3765,1678-2690,MULTIDISCIPLINARY SCIENCES - SCIE,"5,360",1.3,Q3,0.38,91.15%
JETP LETTERS,JETP LETT+,0021-3640,1090-6487,"PHYSICS, MULTIDISCIPLINARY - SCIE","7,369",1.3,Q4,0.32,17.89%
Statistical Analysis and Data Mining,STAT ANAL DATA MIN,1932-1864,1932-1872,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",729,1.3,Q4,0.32,14.97%
ANIMAL WELFARE,ANIM WELFARE,0962-7286,N/A,ZOOLOGY - SCIE,"2,669",1.2,Q3,0.91,7.14%
NEMATOLOGY,NEMATOLOGY,1388-5545,1388-5545,ZOOLOGY - SCIE,"2,391",1.2,Q3,0.81,4.74%
ANIMAL BIOLOGY,ANIM BIOL,1570-7555,1570-7563,ZOOLOGY - SCIE,564,1.2,Q3,0.8,6.17%
ACTA ZOOLOGICA,ACTA ZOOL-STOCKHOLM,0001-7272,1463-6395,ZOOLOGY - SCIE,"1,207",1.2,Q3,0.68,7.41%
AUSTRALIAN MAMMALOGY,AUST MAMMAL,0310-0049,1836-7402,ZOOLOGY - SCIE,771,1.2,Q3,0.68,8%
AQUATIC MAMMALS,AQUAT MAMM,0167-5427,N/A,ZOOLOGY - SCIE,"1,596",1.2,Q3,0.61,0%
INVERTEBRATE BIOLOGY,INVERTEBR BIOL,1077-8306,1744-7410,ZOOLOGY - SCIE,870,1.2,Q3,0.61,11.34%
ETHOLOGY ECOLOGY & EVOLUTION,ETHOL ECOL EVOL,0394-9370,1828-7131,ZOOLOGY - SCIE,"1,105",1.2,Q3,0.58,4.22%
European Journal of Taxonomy,EUR J TAXON,N/A,2118-9773,ZOOLOGY - SCIE,"1,126",1.2,Q3,0.56,97.26%
JOURNAL OF MOLLUSCAN STUDIES,J MOLLUS STUD,0260-1230,1464-3766,ZOOLOGY - SCIE,"1,874",1.2,Q3,0.56,6.25%
ICHTHYOLOGICAL RESEARCH,ICHTHYOL RES,1341-8998,1616-3915,ZOOLOGY - SCIE,"1,042",1.2,Q3,0.46,2.37%
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,ANN MATH ARTIF INTEL,1012-2443,1573-7470,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,099",1.2,Q4,0.39,25.30%
CANADIAN JOURNAL OF PHYSICS,CAN J PHYS,0008-4204,1208-6045,"PHYSICS, MULTIDISCIPLINARY - SCIE","4,875",1.2,Q4,0.33,0%
